config_key,build_time_s,dataset,dim,extra_note,extra_query_batch_size,extra_rss_delta_vs_before_build_mb,hnsw_M,hnsw_ef_construction,hnsw_ef_search,index_file_bytes,ivf_nlist,ivf_nprobe,k_ground_truth,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_qps,latency_std_ms,memory_rss_after_build_mb,method,mrr,n_index,n_queries,nsg_GK,nsg_search_L,recall@1,recall@10,recall@20,recall@5,recall@50,tuning_name,tuning_value
best_hnsw,0.0015737079957034439,UCR_TimeSeries,150,HNSW graph index results.,8,4.125,16,200,16,37500,,,50,0.01444083337749665,0.014104249203228392,0.018766099492495407,0.018958249711431563,69248.08103930579,0.0015833734962065649,49.703125,HNSW (hnswlib),1.0,50,150,,,1.0,1.0,1.0,1.0,1.0,ef_search,16
best_ivf,0.0003878750139847398,UCR_TimeSeries,150,IVF index results.,8,0.171875,0,0,0,31147,1,1,50,0.005098873419531931,0.0033124997571576387,0.02176610041715267,0.03602075048547704,196121.75430152146,0.007345490317413827,51.140625,IVF (FAISS IndexIVFFlat),1.0,50,150,,,1.0,1.0,1.0,1.0,1.0,nprobe,1
best_nsg,0.0016416250000474975,UCR_TimeSeries,150,NSG graph index results.,8,0.171875,0,0,0,31072,,,50,0.008630293499057494,0.0071458744059782475,0.020837537067563666,0.02889062488975469,115870.91448387117,0.004895910280173833,51.546875,NSG (FAISS IndexNSGFlat),1.0,50,150,16,16,1.0,1.0,1.0,1.0,1.0,nsg_GK_search_L,GK16_L16
