dataset,method,dim,n_index,n_queries,k_ground_truth,hnsw_M,hnsw_ef_construction,hnsw_ef_search,build_time_s,index_file_bytes,memory_rss_after_build_mb,mrr,ivf_nlist,ivf_nprobe,nsg_search_L,nsg_GK,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,qps,recall@1,recall@5,recall@10,recall@20,recall@50,recall@100,extra_rss_delta_vs_before_build_mb,extra_query_batch_size,extra_note
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4207062079804018,20662884,471.609375,0.5535,,,32,16,0.05095129055553116,0.005896096037213843,0.048457030970894266,0.06568034405063372,0.07017968800937524,19626.588239410987,0.5535,0.5218,0.49015,0.45345,0.3959,0.34464,-68.1875,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4207062079804018,20662884,471.609375,0.5535,,,64,16,0.048701707972213626,0.004216399102718282,0.047285156142606866,0.060775390920753125,0.0615937497059349,20533.160778889767,0.5535,0.5218,0.49015,0.45345,0.3959,0.34464,-68.1875,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4207062079804018,20662884,471.609375,0.5995,,,128,16,0.060135104024084285,0.001829743863300387,0.059961578699585516,0.06372526604536688,0.0658762974126148,16629.222086312464,0.5995,0.5677,0.53645,0.498875,0.44195,0.389015,-68.1875,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4975069999927655,20715764,510.96875,0.6305,,,32,32,0.050743790983688086,0.002791236681969831,0.05036068796471227,0.0574283749301685,0.05934309319854947,19706.844534367887,0.6305,0.5732,0.5485,0.50965,0.44897,0.393365,19.75,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4975069999927655,20715764,510.96875,0.6305,,,64,32,0.04815231100656092,0.002299726968746721,0.047826812078710645,0.0517675789524219,0.05733593752665911,20767.43522992586,0.6305,0.5732,0.5485,0.50965,0.44897,0.393365,19.75,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4975069999927655,20715764,510.96875,0.6765,,,128,32,0.059259376052068546,0.0024172118820747377,0.05899870302528143,0.06294726517808158,0.06837109413027065,16874.966741488217,0.6765,0.6211,0.5945,0.5562,0.49682,0.4409,19.75,64,NSG graph index results.
