dataset,method,dim,n_index,n_queries,k_ground_truth,hnsw_M,hnsw_ef_construction,hnsw_ef_search,build_time_s,index_file_bytes,memory_rss_after_build_mb,mrr,ivf_nlist,ivf_nprobe,nsg_search_L,nsg_GK,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,qps,recall@1,recall@5,recall@10,recall@20,recall@50,recall@100,extra_rss_delta_vs_before_build_mb,extra_query_batch_size,extra_note
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,0.4905,100,1,,,0.00977556494763121,0.0005428132652169214,0.009768875315785408,0.010440109690534882,0.010836592991836369,102295.878075294,0.4905,0.4446,0.4131,0.377375,0.32123,0.271085,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,0.7005,100,2,,,0.016589294478762895,0.0008775302670216057,0.016518234588147607,0.01753386004565982,0.01812761001929175,60279.83898171012,0.7005,0.6502,0.61055,0.569175,0.50238,0.43849,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,0.867,100,4,,,0.02811976891825907,0.0015228090482029537,0.028138671950728167,0.030234375117288437,0.031261062758858316,35562.16990640588,0.867,0.8318,0.80145,0.767475,0.70414,0.640525,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,0.9625,100,8,,,0.04879533252096735,0.0021061296507759023,0.04917057776765432,0.05116731244925177,0.05141276596987154,20493.76340596306,0.9625,0.9474,0.9315,0.909175,0.86952,0.826025,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,0.9945,100,16,,,0.08651466702576727,0.002824907987370406,0.0870716094141244,0.09021809364639921,0.09083007807930699,11558.733731266202,0.9945,0.9885,0.98435,0.977825,0.96318,0.944245,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,0.9995,100,32,,,0.158061372989323,0.0030492400856805446,0.15779231216583867,0.16303710981446784,0.1654127499932656,6326.656418880721,0.9995,0.9989,0.9986,0.997925,0.99568,0.991945,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,1.0,100,64,,,0.2927860005002003,0.003844364025998958,0.2918912814493524,0.2990481716551585,0.2997233123096521,3415.463848310998,1.0,1.0,1.0,1.0,0.99996,0.999875,3.359375,64,IVF index results.
