dataset,method,dim,n_index,n_queries,k_ground_truth,hnsw_M,hnsw_ef_construction,hnsw_ef_search,build_time_s,index_file_bytes,memory_rss_after_build_mb,mrr,ivf_nlist,ivf_nprobe,nsg_search_L,nsg_GK,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,qps,recall@1,recall@5,recall@10,recall@20,recall@50,recall@100,extra_rss_delta_vs_before_build_mb,extra_query_batch_size,extra_note
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,16,5.0490034589893185,21969328,656.21875,1.0,,,,,0.06734508351655677,0.026530773138333557,0.06448762451327639,0.07054687466734322,0.07134961015253793,14848.893902613549,1.0,0.9999,0.9997,0.9994,0.99772,0.992535,1.5625,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,32,5.0742951249703765,21969328,658.96875,1.0,,,,,0.07043775054626167,0.02650604180649629,0.0668144530209247,0.07739321881672367,0.0858665471241693,14196.932642578162,1.0,0.9999,0.9997,0.9994,0.99772,0.992535,0.09375,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,64,5.073565332975704,21969328,659.0625,1.0,,,,,0.06854900051257573,0.026755921313822668,0.06572656275238842,0.0703535160937463,0.07515364086430054,14588.10475021505,1.0,0.9999,0.9997,0.9994,0.99772,0.992535,0.0,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,128,5.1586926659801975,21969328,659.078125,1.0,,,,,0.07985510447178967,0.031926356966820085,0.07706706219323678,0.08276757853309391,0.08480598444293719,12522.68100598715,1.0,1.0,1.0,0.9998,0.99895,0.99671,-0.03125,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,256,5.1630351659841835,21969328,535.46875,1.0,,,,,0.1377771669649519,0.05472798847383251,0.13364453116082586,0.14744010968570365,0.15213737515296089,7258.096693586263,1.0,1.0,1.0,1.0,0.99995,0.999785,-123.609375,64,HNSW graph index results.
