config_key,build_time_s,dataset,dim,extra_note,extra_query_batch_size,extra_rss_delta_vs_before_build_mb,hnsw_M,hnsw_ef_construction,hnsw_ef_search,index_file_bytes,ivf_nlist,ivf_nprobe,k_ground_truth,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_qps,latency_std_ms,memory_rss_after_build_mb,method,mrr,n_index,n_queries,nsg_GK,nsg_search_L,recall@1,recall@10,recall@100,recall@20,recall@5,recall@50,tuning_name,tuning_value
best_hnsw,5.1586926659801975,CIFAR10,512,HNSW graph index results.,64,-0.03125,16,200,128,21969328,,,100,0.07985510447178967,0.07706706219323678,0.08276757853309391,0.08480598444293719,12522.68100598715,0.031926356966820085,659.078125,HNSW (hnswlib),1.0,10000,2000,,,1.0,1.0,0.99671,0.9998,1.0,0.99895,ef_search,128
best_ivf,0.040167750034015626,CIFAR10,512,IVF index results.,64,3.359375,0,0,0,20765739,100,64,100,0.2927860005002003,0.2918912814493524,0.2990481716551585,0.2997233123096521,3415.463848310998,0.003844364025998958,539.265625,IVF (FAISS IndexIVFFlat),1.0,10000,2000,,,1.0,1.0,0.999875,1.0,1.0,0.99996,nprobe,64
best_nsg,0.4975069999927655,CIFAR10,512,NSG graph index results.,64,19.75,0,0,0,20715764,,,100,0.059259376052068546,0.05899870302528143,0.06294726517808158,0.06837109413027065,16874.966741488217,0.0024172118820747377,510.96875,NSG (FAISS IndexNSGFlat),0.6765,10000,2000,32,128,0.6765,0.5945,0.4409,0.5562,0.6211,0.49682,nsg_GK_search_L,GK32_L128
